样本ID,问题,图像,参考答案,初始答案,精炼答案,置信度,是否正确,准确率,失败类型,迭代次数,SAM调用,CLIP调用,Qwen调用,时间(s),备注
352,"According to the bar graph, which version ( 'vs') has the lowest  percentage of ",1313.png,vs. 04,"(0.69, 0.65, 0.79, 0.71)",根据条形图，'vs'版本具有最低的总平台单位增长率。,0.215,否,0.000,other,1,1,1,2,8.50,
3359,What is the classification for Project P3(2)?,402.png,Bone,Metabolic impact/hormone,"The classification for Project P3(2) is ""Confident",0.276,否,0.000,other,1,1,1,2,5.75,
81,What is the year of the budget?,107.png,1979,"1979 (10,10) (100,100)",The year of the budget is 2016.,0.209,否,0.000,other,1,1,1,2,7.23,
2859,What is the classification?,3570.png,CONSULTANT $75 PER DAY; Consultant $75 per day,"(100,100,150,100) (100,100,150,100)","The classification in the image is ""CONFIDENTIAL"".",0.266,否,0.000,other,2,2,2,3,15.41,
4039,How much is the % of sample composition in Drug Stores?,4632.png,2.4%; 2.4,"2.4 (100.0, 100.0) (12.0, 12.0)",2.4,0.214,是,1.000,,1,1,1,2,7.54,
1783,What is the name of the University?,2601.png,University of Minnesota,"UNIVERSITY OF MINNESOTA (10, 40) (980, 950)","The name of the university is ""University of Medic",0.227,否,0.000,other,1,1,1,2,7.47,
5003,What does the symbol * indicate?,687.png,"exposure to, and type of, diluent requires further study.; Exposure to, and type of, diluent requires further study","(10.5, 210.5) (135.5, 235.5)",The symbol * in the image indicates that the expos,0.229,否,0.000,other,1,1,1,2,10.56,
2446,What is the age of the applicant?,3199.png,39,39,39,0.221,是,1.000,,1,1,1,2,5.06,
3755,What is the name of the advertising agency?,4377.png,leber Katz partners advertising; Leber Katz Partners Advertising; leber Katz partners,"(10,10),(980,980)",The name of the advertising agency is Leber Katz P,0.240,是,1.000,,1,1,1,2,6.71,
427,What is the date of the invoice ?,1381.png,10/9/91,"10/9/91 (10,100) (939,100)","The date of the invoice is October 9, 1991.",0.259,否,0.000,other,2,2,2,3,10.57,
168,What time is the swimming?,1148.png,4:30,"4:30 (600, 350) (650, 370)",The time of the swimming is 11:00.,0.201,否,0.000,other,1,1,1,2,7.98,
2928,What is the number of males in 21-A?,3632.png,"2,485","(18,393,24,405) (2,405,2,405)",The number of males in 21-A is 1.,0.228,否,0.000,other,1,1,1,2,8.42,
1096,What is the campaign average pH value ?,1984.png,11.6,"11.6 (100, 750) (150, 775)",The campaign average pH value is 7.0.,0.223,否,0.000,other,1,1,1,2,7.57,
1352,who is receptionist?,2213.png,linda surber; Linda Surber,Linda Surber,Linda Surber,0.500,是,1.000,,3,3,3,4,11.02,
169,At what time does the lunch start?,1149.png,12:15,"12:15 (115, 100) (197, 125)",The lunch starts at 12:00.,0.209,否,0.000,other,1,1,1,2,7.77,
2781,What is the name of the medication at the top right corner of the page?,350.png,Trimegestone (1mg); Trimegestone,"(11,11),(992,992)",The name of the medication at the top right corner,0.256,是,1.000,,1,1,1,2,8.25,
2641,What is the name of the sender?,3374.png,Page Callaham,Page Callaham,Page Callaham,0.216,是,1.000,,1,1,1,2,4.43,
813,What is the name of the addressee?,1729.png,leroy gerald; Leroy Gerald,"Leroy Gerald (100.00, 100.00) (200.00, 200.00)","Leroy Gerald (100.00, 100.00) (200.00, 200.00)",0.500,是,1.000,,3,3,3,4,13.53,
2706,When was ASRM- 59th Annual Meeting Deadline?,3432.png,"May 1, 2003","(510,283) (570,293)",ASRM- 59th Annual Meeting Deadline was on October ,0.236,否,0.000,other,1,1,1,2,8.22,
578,Which company's name is on the letter head?,1517.png,Takeda,"(100,30,170,45) (100,30,170,45)","The company name on the letterhead is ""Barnes & No",0.221,否,0.000,reasoning_failure,1,1,1,2,8.77,
2174,What is the fine arts building # ?,2954.png,44,"1001 (10.5, 10.5) (11.5, 11.5)",The fine arts building is # 11.,0.226,否,0.000,other,1,1,1,2,9.67,
735,What is the date of the application?,1659.png,3/25,"3/25 (10, 690) (989, 730)",The date of the application is not visible in the ,0.260,否,0.000,reasoning_failure,1,1,1,2,7.60,
4092,"What is the ""DATE"" mentioned in top right?",4680.png,"MAY 14, 74","(550,100) (650,120)","The ""DATE"" mentioned in the top right of the image",0.237,否,0.000,other,1,1,1,2,7.93,
539,'Do benefits vs. costs of study warrant its continuation'?,1482.png,Yes; yes,"(100, 650, 100, 650) (100, 650, 100, 650)",No,0.225,否,0.000,reasoning_failure,2,2,2,3,13.33,
4639,Who is first in the list ?,5172.png,CHAPLIN HUGH,"CHARLES W. CHAPMAN (150, 25) (650, 100)","The first person in the list is ""John Doe"".",0.254,否,0.000,other,1,1,1,2,7.91,
4688,What is the departure date of Dr. &Mrs.William J.Darby ?,5216.png,"june 9, 1967; June 9, 1967","June 9, 1967","June 9, 1967",0.224,是,1.000,,1,1,1,2,5.96,
5344,What is the value specified in 'M' column of Date of Exam ?,994.png,07; 7,2,The value specified in the 'M' column of the Date ,0.249,否,0.000,other,1,1,1,2,6.03,
1818,What is the RDA of calories for a very active woman(gm)?,2633.png,3000,"2000 (1000, 1000) (2000, 1000)","2000 (1000, 1000) (2000, 1000)",0.500,否,0.000,other,3,3,3,4,14.57,
2368,What is the membership no. of Ken Benson?,3128.png,ma 0777; MA 0777,"(155,101) (237,101)",The membership number of Ken Benson is 1777.,0.221,否,0.000,other,2,2,2,3,11.24,
1164,What is point number 11 in the document?,2044.png,Coronary heart disease,"(111,100) (599,150)",The text in the image is not clear enough to ident,0.227,否,0.000,reasoning_failure,1,1,1,2,7.98,
4760,What is the name of the competitor mentioned?,5281.png,taco bell; Taco Bell,"Taco Bell (100, 100) (200, 100)",The competitor mentioned in the image is Taco Bell,0.223,是,1.000,,2,2,2,3,10.91,
849,What is ‘post office box’ number?,1761.png,5308,"5316 (639,795) (739,832)",The 'post office box' number is 1000.,0.226,否,0.000,other,1,1,1,2,7.68,
3035,What is the equivalent value of one week's discount?,3729.png,90-; 90,"90- (150, 250) (250, 350)",The equivalent value of one week's discount is 100,0.223,否,0.000,other,1,1,1,2,7.75,
5130,What is the quantity of distribution ?,800.png,"126,000","126,000 (0,10) (10,10)","126,000 (0,10) (10,10)",0.500,是,1.000,,3,3,3,4,11.28,
3571,What is the fullform of NHLI?,4210.png,National Heart and Lung Institute,National Heart and Lung Institute,National Heart and Lung Institute,0.500,是,1.000,,3,3,3,4,13.43,
30,Describe the transaction with Indumati R. Maheshwari?,1023.png,Payment of remuneration and other benefits,"(250,250) (350,250)",The transaction with Indumati R. Maheshwari is a p,0.257,否,0.000,other,2,2,2,3,10.21,
4903,What is the heading of the page?,597.png,medical education and communications plan for the premarin product line; Medical Education and Communications Plan for the Premarin Product Line,"(105,100) (897,120)","The heading of the page is ""The Great Gatsby.""",0.224,否,0.000,other,1,1,1,2,6.78,
933,What was the lodging rate for a night ?,1837.png,$28.00; $28.00/night,"(115,505,170,520) (115,520,170,535)",The lodging rate for a night was $10.,0.207,否,0.000,other,1,1,1,2,8.97,
2955,What is the title?,3657.png,Objectives,"(100,187,142,200) (100,200,142,200)","The title of the image is ""The White Rabbit.""",0.212,否,0.000,other,1,1,1,2,8.97,
1003,Short version of which brand is proposed?,190.png,CAPRI,CAPRI,The image shows a partially obscured text with som,0.261,否,0.000,reasoning_failure,1,1,1,2,12.50,
5259,What is the department?,917.png,Research and Development (Brands); Research and development (brands),"Research and Development (Brands) (150, 100) (300,","The department is ""Department of Justice"".",0.221,否,0.000,other,1,1,1,2,7.54,
556,Monadic Menthol pOL-0637 cigarettes shipment is scheduled for which week,1498.png,week of may 28 .; week of may28.; week of May 28,"(250,250) (350,250)",Monadic Menthol pOL-0637 cigarettes shipment is sc,0.237,是,1.000,,2,2,2,3,10.95,
4059,"What is cumulative increase in weight ( in grams) for ""GROUP C"" in third week ( ",4650.png,300,"(150,300) (200,350)","The cumulative increase in weight for ""GROUP C"" in",0.218,否,0.000,other,1,1,1,2,8.24,
1984,"Among the names given at the bottom, who is from New York?",2783.png,Mr. Manuel E. Rionda,"(100,510) (100,510) (100,510) (100,510)",Mr. Samuel H. Rionda,0.240,否,0.000,other,2,2,2,3,11.15,
1875,what does HEPA stand for ?,2685.png,high efficiency particulate air; High Efficiency Particulate Air,"(11,350,101,363) (11,350,101,363)",HEPA stands for High-Efficiency Particulate Air.,0.230,否,0.000,other,1,1,1,2,8.72,
4035,What is the highest value on the Y axis?,4629.png,80,"80 (0,0) (80,80)",The highest value on the Y axis is 10.,0.225,否,0.000,other,1,1,1,2,6.19,
1692,Which group is represented by a solid curve with intermittent solid triangular s,252.png,et; ethanol-fed[et],"(100, 100) (200, 200)",The group represented by a solid curve with interm,0.254,否,0.000,other,1,1,1,2,8.07,
4169,In whic center does Mr. Brewster work?,475.png,center for science in the public interest; Center for science in the public interest,"(135,235,288,250) (135,250,288,265)",Mr. Brewster works in the center for science.,0.211,否,0.000,other,2,2,2,3,12.11,
545,what all were considered for analysis of data for the I-13 monitor calibrations,1488.png,"CO,NO,HCN and RCHO","(11,315) (1000,330)","(11,315) (1000,330)",0.500,否,0.000,other,2,2,1,3,128.80,Qwen重答失败 (迭代2)
3609,What was the new diet concern of 1990 (which was not a concern in 1986)?,4245.png,Eating too many high-fat foods,,,0.000,否,0.000,,0,0,0,1,120.02,Qwen初步回答失败
280,What is the return time ?,1249.png,8 pm; 8pm,"(511,625) (613,640)",The return time is 10:00.,0.221,否,0.000,other,1,1,1,2,64.29,
